"","FC_112","FC_113","FC_122","FC_123","FC_133","FC_134","FC_142","FC_143","FC_161","FC_162","FC_172","FC_177","FC_181","FC_186","FC_195","FC_199"
"[Entotheonellaceae]",16.9768201110023,31.4111579934365,0,11.0312981015906,0,0,0,0,0,0,0,0,0,0,0,0
"Caldicoprobacteraceae",0,0,0,4.10466906105695,0,0,0,0,0,0,0,12.9291127953634,0,0,0,0
"Streptosporangiaceae",6.52954619653934,0,0,14.8794253463315,0,0,0,0,0,9.93541977148535,0,0,0,4.52861259777686,0,0
"Alicyclobacillaceae",16.9768201110023,17.5027348023129,0,0,0,0,0,0,0,21.8579234972678,0,0,0,0,0,0
"EB1003",5.06039830231799,0,0,0,0,0,0,0,0,0,0,0,0,15.6442980650473,0,0
"Methylocystaceae",6.52954619653934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhodobiaceae",0,1.56274417877793,0,2.05233453052848,0,0,0,0,0,4.47093889716841,0,0,0,5.76368876080692,0,0
"Mycobacteriaceae",29.0564805746001,34.3803719331145,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erythrobacteraceae",5.38687561214496,12.0331301765901,0,20.5233453052848,0,0,0,30.9789343246593,0,0,0,0,0,0,0,0
"Armatimonadaceae",3.75448906301012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[Exiguobacteraceae]",0,0,0,0,0,0,0,16.1090458488228,0,0,0,0,0,0,0,27.4043433298863
"Xanthobacteraceae",4.73392099249102,10.0015627441788,0,0,0,0,0,0,0,6.95479384003974,0,0,0,13.5858377933306,0,0
"[Fimbriimonadaceae]",0,5.93842787935615,0,0,0,0,0,6.19578686493185,0,0,0,0,0,0,0,0
"Brucellaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5460186142709
"Legionellaceae",1.79562520404832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rikenellaceae",0,0,0,8.46587993842996,1.77619893428064,0,1.69204737732657,0,0,0,0,0,0,0,0,0
"Frankiaceae",3.42801175318315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desulfarculaceae",0,0,0,6.15700359158543,0,0,0,0,0,0,0,0,0,0,0,0
"Nitrospiraceae",5.06039830231799,17.0339115486795,0,0,0,0,0,0,0,10.4321907600596,0,0,0,0,0,6.72182006204757
"Methylococcaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.79007238883144
"OM27",0,0,0,11.0312981015906,0,0,0,0,0,8.44510680576255,0,0,0,0,0,0
"Thermaceae",3.59125040809664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cystobacteraceae",0,10.3141115799344,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Deinococcaceae",3.10153444335619,0,0,0,0,0,0,0,0,4.96770988574267,0,0,0,0,0,0
"Pseudoalteromonadaceae",0,0,0,0,0,0,0,0,0,0,10.1757631822387,0,0,0,0,0
"Nannocystaceae",5.06039830231799,0,0,0,0,0,0,0,0,0,0,0,0,5.76368876080692,0,0
"Rhodothermaceae",0,0,0,14.1097998973833,0,0,0,0,0,0,0,1.78332590280874,0,0,0,0
"Verrucomicrobiaceae",0,2.65666510392249,0,17.188301693176,0,0,0,0,0,0,0,0,0,0,0,0
"Thermoactinomycetaceae",0,0,0,6.15700359158543,0,0,0,0,0,0,0,0,0,0,0,0
"Hyphomonadaceae",0,0,0,21.8060543868651,0,0,0,0,0,0,0,0,0,0,0,0
"[Thermicanaceae]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.17063081695967
"Bdellovibrionaceae",1.79562520404832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dolo_23",0,0,0,10.7747562852745,0,0,0,0,0,0,0,0,0,0,0,0
"Nitriliruptoraceae",0,0.781372089388967,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A4b",0,0,0,14.3663417136993,0,0,0,0,0,0,0,0,0,0,0,0
"Ellin515",0,0,0,9.74858902001026,0,0,0,0,0,0,0,0,0,0,0,0
"Shewanellaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.6825232678387
"OPB35",0,0,0,0,0,0,0,0,0,2.48385494287134,0,0,0,0,0,0
"auto67_4W",4.89715964740451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kineosporiaceae",0,16.7213627129239,0,0,0,0,0,0,0,0,0,0,0,0,0,0
